LL,PI,Sand,Stabilizer,Strength,Acceptable,Sandy,Soil_Class,ClaySandRatio
15.6,3.1,70,0,0.4,0,1,SM,0.4
15.4,4,70,4.5,7.79,1,1,SM,0.4
26.1,13.8,70,0,0.72,0,1,SC,0.4
18,9.7,70,0,0.44,0,1,SM,0.4
24.8,13.4,50,0,0.55,0,0,CL,1
34.5,18.4,40,0,0.72,0,0,CL,1.5
15.4,5.3,75,5,5.96,1,1,SM,0.3
17.3,7.9,85,4.5,11.01,1,1,SW,0.2
22.3,12.1,80,5,5.14,1,1,SW,0.3
38.5,23.3,60,6,3.45,0,0,SC,0.7
27,10.5,82,0,1.18,0,1,SW,0.2
27,10.5,82,12,9.96,1,1,SW,0.2
40,21,50.3,5,4.49,1,0,SC,1
40,21,50.3,8,5.85,1,0,SC,1
32,19.7,65.1,5,3,0,0,SC,0.5
32,19.7,65.1,8,6.02,1,0,SC,0.5
26.9,17.5,72.6,5,3.89,0,1,SC,0.4
26.9,17.5,72.6,8,6.66,1,1,SC,0.4
26.9,17.5,72.6,12,11.45,1,1,SC,0.4
25.6,0,77,5,3.17,0,1,SM,0.3
25.6,0,77,8,6.14,1,1,SM,0.3
24.9,0,82.1,5,3,0,1,SW,0.2
24.9,0,82.1,8,4.61,1,1,SW,0.2
26,10.8,73.2,7,5.01,1,1,SC,0.4
26,10.8,73.2,10,7.44,1,1,SC,0.4
31.7,8.8,79,4,4.45,1,1,SM,0.3
31.7,8.8,79,6,6.51,1,1,SM,0.3
31.7,8.8,79,8,7.15,1,1,SM,0.3
31.7,8.8,79,10,9.73,1,1,SM,0.3
26,11,79.7,0,0.45,0,1,SC,0.3
26,11,79.7,6,4.85,1,1,SC,0.3
26.9,17.5,72.6,8,6.5,1,1,SC,0.4
49,24,75,0,2.46,0,1,SC,0.3
39,15,38,0,1.66,0,0,CL,1.6
39,15,38,4,2.31,0,0,CL,1.6
39,15,38,6,3.26,0,0,CL,1.6
39,15,38,8,4,0,0,CL,1.6
39,15,38,10,4.17,1,0,CL,1.6
39,15,38,12,5.16,1,0,CL,1.6
39,15,38,15,6.11,1,0,CL,1.6
39,15,38,20,6.47,1,0,CL,1.6
42,22,24,0,1.3,0,0,CL,3.2
42,22,24,4,2.54,0,0,CL,3.2
42,22,24,6,3.82,0,0,CL,3.2
42,22,24,8,4.3,1,0,CL,3.2
42,22,24,6,3.71,0,0,CL,3.2
42,22,24,8,4.84,1,0,CL,3.2
26.3,12.6,11.72,0,1.35,0,0,CL,7.5
28.1,13.4,11.1,0,1.2,0,0,CL,8
30.9,14.5,10.48,0,1.11,0,0,CL,8.5
33.4,15.4,9.86,0,0.83,0,0,CL,9.1
37.8,16.9,9.25,0,0.73,0,0,CL,9.8
